,function,approach,len,mean,median,std,mse
0,compression,Single-Region\neptune,1038.0,1.3873255057803444,1.2707199999999998,0.8725897843931437,98.61267449421965
1,compression,Single-Region\vsvbp,881.0,1.3065934903518732,1.3046399999999998,0.8050114113998902,98.69340650964814
2,compression,Single-Region\mcf,1003.0,1.4235167996011968,1.3646399999999999,0.7818761769899971,98.57648320039881
3,compression,Single-Region\cr-o,847.0,1.383257994877685,1.4298523342518261,0.7232097599780498,98.61674200512232
4,compression,Single-Region\cr-h,941.0,1.3091949415515418,1.3294000000000001,0.7409153114319946,98.69080505844846
5,dynamic-html,Single-Region\neptune,990.0,1.9595158181818166,2.0091,0.9203991518245938,98.04048418181817
6,dynamic-html,Single-Region\vsvbp,855.0,1.6263507192982452,1.5596900000000002,0.8544372075711061,98.37364928070176
7,dynamic-html,Single-Region\mcf,924.0,1.8831665530303052,1.81737,0.8404912451483953,98.11683344696971
8,dynamic-html,Single-Region\cr-o,967.0,1.6336165768449948,1.5440188948204576,0.8810447051186983,98.36638342315501
9,dynamic-html,Single-Region\cr-h,900.0,1.8183186333333332,1.78906,0.93295248662963,98.18168136666667
10,graph-bfs,Single-Region\neptune,1111.0,1.943979513951393,2.014215,0.5847498778017723,98.0560204860486
11,graph-bfs,Single-Region\vsvbp,1044.0,2.6117035919540235,2.375885,1.052822027604715,97.38829640804597
12,graph-bfs,Single-Region\mcf,978.0,2.779268548057259,2.6797625000000003,0.8529063009366815,97.22073145194274
13,graph-bfs,Single-Region\cr-o,1102.0,2.7209779213944922,2.6981660798521645,1.165803934886645,97.27902207860551
14,graph-bfs,Single-Region\cr-h,1104.0,2.737030330615941,2.816135,1.1551254864135505,97.26296966938406
15,graph-mst,Single-Region\neptune,1112.0,1.350076870503599,1.3556299999999997,0.43785850882269567,98.64992312949641
16,graph-mst,Single-Region\vsvbp,992.0,1.91166706653226,1.845275,0.638451277867504,98.08833293346775
17,graph-mst,Single-Region\mcf,1083.0,1.826034699907664,1.852215,0.6148002131794982,98.17396530009235
18,graph-mst,Single-Region\cr-o,927.0,1.9135511045289189,1.6975183416590494,0.8546250986412911,98.08644889547108
19,graph-mst,Single-Region\cr-h,1055.0,1.824625042654029,1.811295,0.6276173803785211,98.17537495734598
20,thumbnailer,Single-Region\neptune,1015.0,2.8130789458128045,3.0705449999999996,1.5347104304950874,97.1869210541872
21,thumbnailer,Single-Region\vsvbp,948.0,2.7048693143459905,2.7454775,1.3122054396563914,97.295130685654
22,thumbnailer,Single-Region\mcf,800.0,2.5620575500000022,2.467565,1.3517145824897254,97.43794245000001
23,thumbnailer,Single-Region\cr-o,934.0,2.827240336603361,2.8646065854784153,1.4869920694160903,97.17275966339663
24,thumbnailer,Single-Region\cr-h,891.0,2.6423455443322097,2.3196000000000003,1.5350525805749307,97.35765445566778
