,function,approach,sum,len,mean,median,std,mse,ratio
0,compression,Single-Region\neptune,998.0,3429.0,216.6033179318266,95.84337103174602,277.3534704974603,149.31735260656632,0.2910469524642753
1,compression,Single-Region\vsvbp,837.0,3407.0,216.18260839771602,93.83666666666666,306.55679014286005,150.25402512280954,0.2456706780158497
2,compression,Single-Region\mcf,806.0,3348.0,182.73995389487678,97.43142143273391,208.37826398078218,111.89278518872399,0.24074074074074073
3,compression,Single-Region\cr-o,989.0,3306.0,235.8725999841027,89.89977976190477,321.6705484920926,174.78586103343864,0.29915305505142165
4,compression,Single-Region\cr-h,884.0,3412.0,210.31566216365033,91.30249075554983,285.4732777165193,148.00887888616683,0.25908558030480655
5,dynamic-html,Single-Region\neptune,911.0,3400.0,197.1387279038071,121.8784530143293,199.09682021186006,119.6858834420184,0.26794117647058824
6,dynamic-html,Single-Region\vsvbp,1066.0,3383.0,299.94665910325654,117.25420238095236,451.0026001183549,223.5186982339179,0.3151049364469406
7,dynamic-html,Single-Region\mcf,985.0,3374.0,214.25642093642762,116.12991666666666,257.37773835813454,139.22437960667918,0.2919383521043272
8,dynamic-html,Single-Region\cr-o,1063.0,3387.0,307.44554564959304,107.24283333333335,563.3242938670619,240.1947828666312,0.31384706229701803
9,dynamic-html,Single-Region\cr-h,952.0,3407.0,249.9486091912899,106.71250000000002,382.3549042548885,176.1918024443656,0.27942471382447903
10,graph-bfs,Single-Region\neptune,47.0,3389.0,103.22684657225008,97.6425,20.864584961139865,9.426538552870362,0.013868397757450576
11,graph-bfs,Single-Region\vsvbp,203.0,3377.0,124.20756268482283,96.34341666666668,145.93691025821116,31.604631034727124,0.060112525910571514
12,graph-bfs,Single-Region\mcf,118.0,3318.0,114.79307217153284,97.7673630952381,90.22502228912286,20.92905921298914,0.03556359252561784
13,graph-bfs,Single-Region\cr-o,246.0,3341.0,137.2325728458578,95.86440365190366,249.7208142881445,44.96639303730624,0.07363064950613589
14,graph-bfs,Single-Region\cr-h,149.0,3385.0,116.3223435646087,95.59737626262628,101.01264264653364,24.51881505572222,0.04401772525849335
15,graph-mst,Single-Region\neptune,237.0,3403.0,118.90484568725753,97.76348450160951,72.07519678333747,39.074146747781555,0.06964443138407288
16,graph-mst,Single-Region\vsvbp,399.0,3383.0,139.17619496631394,101.57683333333333,146.42187561353668,58.876273135152196,0.11794265444871416
17,graph-mst,Single-Region\mcf,295.0,3362.0,128.47354526037392,100.01189082445333,118.24184909142598,48.700832033344504,0.08774538964901844
18,graph-mst,Single-Region\cr-o,351.0,3263.0,145.6420487676249,99.32125,218.05746825069272,65.51945473078356,0.10756972111553785
19,graph-mst,Single-Region\cr-h,210.0,3362.0,134.67635458563728,101.05083682983683,206.0862221495817,52.442543041300034,0.062462819750148724
20,thumbnailer,Single-Region\neptune,915.0,3443.0,233.8312757037722,105.64297641941391,430.7161587965754,158.32701491202943,0.26575660760964276
21,thumbnailer,Single-Region\vsvbp,707.0,3430.0,184.6264787140946,106.0227514083139,303.5846091686732,108.4247033612785,0.20612244897959184
22,thumbnailer,Single-Region\mcf,772.0,3414.0,200.03247582365827,111.53732142857143,289.1774720817902,119.35818865973692,0.22612770943175162
23,thumbnailer,Single-Region\cr-o,988.0,3395.0,288.767119353197,111.59904761904761,568.5361370281965,213.14218573445828,0.29101620029455083
24,thumbnailer,Single-Region\cr-h,823.0,3426.0,258.20946970492594,111.19062680672394,484.2993989755064,181.7710685789459,0.24022183304144776
