timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-29 15:59:01.427095,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:04.524782,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:07.589302,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:10.65568,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:13.720233,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:16.785694,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:19.854074,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:22.921977,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:25.989921,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:29.056062,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:01.427095,pod-dynamic-html-4a07ecd3,,0.2,0.2
2023-03-29 15:59:01.427095,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:04.524782,pod-dynamic-html-4a07ecd3,,0.2,0.2
2023-03-29 15:59:04.524782,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:07.589302,pod-dynamic-html-4a07ecd3,,0.2,0.2
2023-03-29 15:59:07.589302,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:10.65568,pod-dynamic-html-4a07ecd3,,0.2,0.2
2023-03-29 15:59:10.65568,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:13.720233,pod-dynamic-html-4a07ecd3,,0.3,0.3
2023-03-29 15:59:13.720233,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:16.785694,pod-dynamic-html-4a07ecd3,,0.3,0.3
2023-03-29 15:59:16.785694,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:19.854074,pod-dynamic-html-4a07ecd3,,0.429,0.429
2023-03-29 15:59:19.854074,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:22.921977,pod-dynamic-html-4a07ecd3,,0.429,0.429
2023-03-29 15:59:22.921977,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:25.989921,pod-dynamic-html-4a07ecd3,,0.494,0.494
2023-03-29 15:59:25.989921,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:29.056062,pod-dynamic-html-4a07ecd3,,0.494,0.494
2023-03-29 15:59:29.056062,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:32.123842,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:35.320054,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:38.388433,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:41.453551,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:44.521363,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:47.588717,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:50.656503,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:53.723553,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:56.79183,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:59.860479,pod-compression-b9604le1,,0.2,0.2
2023-03-29 15:59:32.123842,pod-dynamic-html-4a07ecd3,,0.43,0.43
2023-03-29 15:59:32.123842,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:35.320054,pod-dynamic-html-4a07ecd3,,0.43,0.43
2023-03-29 15:59:35.320054,pod-thumbnailer-rexthlm0,,0.2,0.2
2023-03-29 15:59:38.388433,pod-dynamic-html-4a07ecd3,,0.378,0.378
2023-03-29 15:59:38.388433,pod-thumbnailer-rexthlm0,,0.2,0.2
