timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-29 10:33:50.75282,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:33:50.75282,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:33:53.822201,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:33:53.822201,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:33:56.892855,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:33:56.892855,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:33:59.961659,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:33:59.961659,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:33:50.75282,pod-dynamic-html-eqyxca4e,,0.2,0.2
2023-03-29 10:33:53.822201,pod-dynamic-html-eqyxca4e,,0.2,0.2
2023-03-29 10:33:56.892855,pod-dynamic-html-eqyxca4e,,0.2,0.2
2023-03-29 10:33:59.961659,pod-dynamic-html-eqyxca4e,,0.3,0.3
2023-03-29 10:34:03.030941,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:34:03.030941,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:34:06.145965,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:34:06.145965,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:34:09.215841,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:34:09.215841,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:34:12.286273,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:34:12.286273,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:34:15.35763,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:34:15.35763,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:34:18.426668,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:34:18.426668,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:34:21.495889,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:34:21.495889,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:34:24.59814,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:34:24.59814,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:34:27.666905,pod-compression-k5hgf0cg,,0.2,0.2
2023-03-29 10:34:27.666905,pod-thumbnailer-q8qwdwan,,0.2,0.2
2023-03-29 10:34:03.030941,pod-dynamic-html-eqyxca4e,,0.3,0.3
2023-03-29 10:34:06.145965,pod-dynamic-html-eqyxca4e,,0.362,0.362
2023-03-29 10:34:09.215841,pod-dynamic-html-eqyxca4e,,0.362,0.362
2023-03-29 10:34:12.286273,pod-dynamic-html-eqyxca4e,,0.399,0.399
